name;src_file;src_line;total_ns;total_perc;counts;mean_ns;min_ns;max_ns;std_ns
asset loading{loader="bevy_shader::shader::ShaderLoader" asset="embedded://bevy_pbr\\ssao\\preprocess_depth.wgsl"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;212400;0.000230;2;106200;107;212293;150038.159473
plugin finish{plugin="forgia_mode_roguelite::progress::PlayerProgressPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;55;0.000000;1;55;55;55;0.000000
system_commands{name="bevy_ui_render::extract_text_shadows"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;2175178;0.002351;18162;119;51;9137;98.512713
plugin build{plugin="bevy_render::render_asset::RenderAssetPlugin<bevy_render::texture::gpu_image::GpuImage>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;16228;0.000018;1;16228;16228;16228;0.000000
plugin finish{plugin="forgia_juice_lib::fov_punch::ForgiaJuiceFovPunchPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;58;0.000000;1;58;58;58;0.000000
plugin finish{plugin="bevy_winit::cursor::WinitCursorPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;56;0.000000;1;56;56;56;0.000000
plugin finish{plugin="bevy_sprite_render::mesh2d::material::Material2dPlugin<bevy_sprite_render::tilemap_chunk::tilemap_chunk_material::TilemapChunkMaterial>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;272;57;0.000000;1;57;57;57;0.000000
plugin cleanup{plugin="bevy_anti_alias::AntiAliasPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;58;0.000000;1;58;58;58;0.000000
plugin cleanup{plugin="bevy_core_pipeline::experimental::mip_generation::MipGenerationPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;55;0.000000;1;55;55;55;0.000000
plugin build{plugin="forgia_mode_roguelite::head_hitbox::RogueliteHeadHitboxPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;12532;0.000014;1;12532;12532;12532;0.000000
system{name="bevy_render::batching::sort_binned_render_phase<bevy_core_pipeline::core_2d::AlphaMask2d>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;6083477;0.006575;18162;334;121;120126;903.333646
system{name="bevy_pbr::render::light::add_light_view_entities"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;7536;0.000008;66;114;57;1869;222.760858
plugin cleanup{plugin="bevy_render::sync_component::SyncComponentPlugin<bevy_camera::camera::CameraMainTextureUsages>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;60;0.000000;1;60;60;60;0.000000
system{name="forgia_ui::resume_time"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;94072;0.000102;1;94072;94072;94072;0.000000
asset loading{loader="bevy_image::image_loader::ImageLoader" asset="models\\kaykit\\medieval_hexagon\\buildings\\red\\hexagons_medieval.png"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;4376922;0.004731;7;625274;96;4353256;1643889.237172
plugin cleanup{plugin="bevy_render::extract_resource::ExtractResourcePlugin<bevy_egui::render::systems::ExtractedEguiManagedTextures>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;61;0.000000;1;61;61;61;0.000000
system{name="forgia_mode_roguelite::element_vfx::sys_write_element_vfx_sensor"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;6930209;0.007491;18163;381;120;80175;685.682482
asset loading{loader="bevy_image::image_loader::ImageLoader" asset="embedded://bevy_anti_alias\\smaa\\SMAASearchLUT.ktx2"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;21721;0.000023;2;10860;99;21622;15219.059268
