name;src_file;src_line;total_ns;total_perc;counts;mean_ns;min_ns;max_ns;std_ns
system{name="forgia_mode_roguelite::weapon_select::sys_lobby_weapon_preview"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;230559;0.000127;91;2533;117;206037;21571.457278
system_commands{name="bevy_sprite_render::mesh2d::mesh::prepare_mesh2d_bind_group"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;3468424;0.001906;37525;92;50;89266;462.144483
plugin build{plugin="bevy_gizmos_render::pipeline_2d::LineGizmo2dPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;529;516519;0.000284;1;516519;516519;516519;0.000000
system{name="bevy_input::mouse::mouse_button_input_system"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;14374054;0.007900;37525;383;117;98939;541.148031
entity_sync;C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_render-0.18.1\src\lib.rs;517;24583288;0.013511;37525;655;236;348306;2596.311366
system{name="forgia_observability::input_sensor::sys_track_input_accum"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;28514653;0.015672;37525;759;140;124164;854.450335
system{name="forgia_ui::weapon_preview::sys_spawn_weapon_preview"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;320666;0.000176;1;320666;320666;320666;0.000000
system{name="bevy_asset::assets::Assets<bevy_pbr::medium::ScatteringMedium>::asset_events_condition"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;3206035;0.001762;37525;85;52;15317;96.385372
system_commands{name="forgia_mode_roguelite::parcours_obstacles::sys_init_obstacle_genome"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;4010;0.000002;1;4010;4010;4010;0.000000
system_commands{name="forgia_player::spawn_player"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;54;59908;0.000033;1;59908;59908;59908;0.000000
system{name="bevy_render::extract_component::prepare_uniform_components<forgia_postprocess::toon::ToonSettings>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;558865902;0.307155;37525;14893;222;19389669;101796.192711
asset loading{loader="bevy_image::image_loader::ImageLoader" asset="ui/menu_video/frame_0306.webp"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs;332;16433816;0.009032;6;2738969;131;16394375;6689758.332827
system{name="bevy_asset::assets::Assets<bevy_render::storage::ShaderStorageBuffer>::track_assets"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;22088563;0.012140;37525;588;111;412097;6004.729463
system{name="bevy_pbr::material::check_entities_needing_specialization<bevy_pbr::pbr_material::StandardMaterial>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;3637596058;1.999236;37525;96937;4818;62865890;873165.525178
plugin cleanup{plugin="bevy_post_process::dof::DepthOfFieldPlugin"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs;292;55;0.000000;1;55;55;55;0.000000
system{name="bevy_pbr::material::add_material_bind_group_allocator<bevy_pbr::extended_material::ExtendedMaterial<bevy_pbr::pbr_material::StandardMaterial, bevy_pbr::decal::forward::ForwardDecalMaterialExt>>"};C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs;52;164484;0.000090;1;164484;164484;164484;0.000000
