name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
asset loading{loader="bevy_image::image_loader::ImageLoader" asset="ui/menu_video/frame_0053.webp"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs,332,15284667,0.011881,6,2547444,114,15249171,6222552.291004
plugin finish{plugin="forgia_ui_lib::hud::wave_counter::WaveCounterPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,54,0.000000,1,54,54,54,0.000000
system_commands{name="bevy_render::extract_component::extract_components<bevy_hanabi::EffectVisibilityClass>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,54,17153224,0.013333,27078,633,230,390085,2371.725199
asset loading{loader="bevy_image::image_loader::ImageLoader" asset="ui/menu_video/frame_0020.webp"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs,332,13731948,0.010674,6,2288658,135,13704906,5592798.263866
plugin finish{plugin="bevy_render::extract_component::ExtractComponentPlugin<bevy_pbr::deferred::PbrDeferredLightingDepthId>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,124,0.000000,1,124,124,124,0.000000
plugin build{plugin="forgia_viewmodel::vm_camera::ForgiaViewmodelCameraPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,25167,0.000020,1,25167,25167,25167,0.000000
plugin finish{plugin="bevy_render::mesh::MorphPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,53,0.000000,1,53,53,53,0.000000
plugin cleanup{plugin="bevy_winit::accessibility::AccessKitPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,292,70,0.000000,1,70,70,70,0.000000
plugin finish{plugin="forgia_village_loader::ForgiaVillageLoaderPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,56,0.000000,1,56,56,56,0.000000
plugin build{plugin="bevy_render::extract_resource::ExtractResourcePlugin<bevy_egui::EguiUserTextures>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,30772,0.000024,1,30772,30772,30772,0.000000
system{name="bevy_picking::input::touch_pick_events"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,12513429,0.009727,27079,462,67,79680,702.508882
system_commands{name="bevy_render::extract_component::extract_components<bevy_post_process::motion_blur::MotionBlur>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,54,22658838,0.017613,27078,836,193,27971,272.796963
